|  |  | KU 0600-0800; KU 0809; KU 0819-0963; KU 0968-0969; KU 0987-0989; KU 0996-0999 |
| Sonstige betriebliche Erträge | G K | 8839 Erlöse aus Verkäufen Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG (bei Buchgewinn); AM 8850 Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens 19 % USt für § 4 Abs. 3 Satz 4 EStG |
|  | U EUR | AM 8851 Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG |
|  | U EUR | AM 8852 Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG und § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG |
|  | EUR | 8853 Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs 3 Satz 4 EStG |
|  |  | 8900 Unentgeltliche Wertabgaben; 8905 Entnahme von Gegenständen ohne USt; 8906 Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt |
|  |  | R 8908-09 |
|  | U AM 8910-13 | Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 19 % USt |
|  | R 8914 |  |
|  | U AM 8915-16 | Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 7 % USt |
|  | U AM 8917 | Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 7 % USt |
|  |  | 8918 Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt (Telefon-Nutzung) |
|  |  | 8919 Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) ohne USt |
|  | U AM 8920 | Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 19 % USt |
|  | U AM 8921 | Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 19 % USt (Fahrzeug-Nutzung) |
|  | U AM 8922 | Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 19 % USt (Telefon-Nutzung) |
|  | R 8923 |  |
|  |  | 8924 Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt (Fahrzeug-Nutzung) |
|  | U AM 8925-27 | Unentgeltliche Erbringung einer sonstigen Leistung 19 % USt |
|  | R 8928 |  |
|  |  | 8929 Unentgeltliche Erbringung einer sonstigen Leistung ohne USt |
|  | U AM 8930 | Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 7 % USt |
|  | U AM 8931 | Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt |
| Sonstige betriebliche Erträge | U | AM 8932 Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt; AM 8933 Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt |
| | U | AM 8935 Unentgeltliche Zuwendung von Gegenständen 19 % USt; 8938 Unentgeltliche Zuwendung von Gegenständen ohne USt |
| | U | AM 8940 Unentgeltliche Zuwendung von Waren 19 % USt |
| | U | AM 8945 Unentgeltliche Zuwendung von Waren 7 % USt |
| | U | AM 8947 Unentgeltliche Zuwendung von Waren 7 % USt; 8949 Unentgeltliche Zuwendung von Waren ohne USt |
| Umsatzerlöse | | 8950 Nicht steuerbare Umsätze (Innenumsätze); 8955 Umsatzsteuervergütungen, z. B. nach § 24 UStG; 8959 Direkt mit dem Umsatz verbundene Steuern |
| Erhöhung des Bestands an fertigen und unfertigen Erzeugnissen oder Verminderung des Bestands an fertigen und unfertigen Erzeugnissen | | 8960 Bestandsveränderungen - unfertige Erzeugnisse; 8970 Bestandsveränderungen - unfertige Leistungen |
| Erhöhung des Bestands in Ausführung befindlicher Bauaufträge oder Verminderung des Bestands in Ausführung befindlicher Bauaufträge | | 8975 Bestandsveränderungen - in Ausführung befindliche Bauaufträge |
| Erhöhung des Bestands in Arbeit befindlicher Aufträge oder Verminderung des Bestands in Arbeit befindlicher Aufträge | | 8977 Bestandsveränderungen - in Arbeit befindliche Aufträge |
| Erhöhung des Bestands an fertigen und unfertigen Erzeugnissen oder Verminderung des Bestands an fertigen und unfertigen Erzeugnissen | | 8980 Bestandsveränderungen - fertige Erzeugnisse |
| Andere aktivierte Eigenleistungen | G K | 8990 Andere aktivierte Eigenleistungen; 8994 Aktivierte Eigenleistungen (den Herstellungskosten zurechenbare Fremdkapitalzinsen); 8995 Aktivierte Eigenleistungen zur Erstellung von selbst geschaffenen immateriellen Vermögensgegenständen |
|                                  | HB  |   |
|   |   | KU 9000-9998 |
|   |   | Vortragkonten; S 9000 Saldenvorträge, Sachkonten; F 9001 Saldenvorträge, Sachkonten -07; S 9008 Saldenvorträge, Debitoren; S 9009 Saldenvorträge, Kreditoren; F 9050 Offene Posten aus 2020; F 9051 Offene Posten aus 2021; F 9052 Offene Posten aus 2022; F 9053 Offene Posten aus 2023; F 9054 Offene Posten aus 2024; F 9055 Offene Posten aus 2025; R 9056 -69; F 9070 Offene Posten aus 2000; F 9071 Offene Posten aus 2001; F 9072 Offene Posten aus 2002; F 9073 Offene Posten aus 2003; F 9074 Offene Posten aus 2004; F 9075 Offene Posten aus 2005; F 9076 Offene Posten aus 2006; F 9077 Offene Posten aus 2007; F 9078 Offene Posten aus 2008; F 9079 Offene Posten aus 2009; F 9080 Offene Posten aus 2010; F 9081 Offene Posten aus 2011; F 9082 Offene Posten aus 2012; F 9083 Offene Posten aus 2013; F 9084 Offene Posten aus 2014; F 9085 Offene Posten aus 2015; F 9086 Offene Posten aus 2016; F 9087 Offene Posten aus 2017; F 9088 Offene Posten aus 2018; F 9089 Offene Posten aus 2019 |
|   |   | F 9090 Summenvortragskonto; R 9091 -9100 |
|   |   | Statistische Konten für Betriebswirtschaftliche Auswertungen (BWA); F 9101 Verkaufstage; F 9102 Anzahl der Barkunden; F 9103 Beschäftigte Personen; F 9104 Unbezahlte Personen; F 9105 Verkaufskräfte; F 9106 Geschäftsraum qm; F 9107 Verkaufsraum qm; F 9116 Anzahl Rechnungen; F 9117 Anzahl Kreditkunden monatlich; F 9118 Anzahl Kreditkunden aufgelaufen; 9120 Erweiterungsinvestitionen; F 9130 7-31; 9135 Auftragseingang im Geschäftsjahr; 9140 Auftragsbestand |
|   |   | Variables Kapital Teilhafter; F 9141 Variables Kapital TH; F 9142 Variables Kapital - Anteil Teilhafter |
|   |   | Sammelposten anrechenbare Privatsteuern; 9143 Privatsteuern Kapitalertragsteuer (Sammelposten); 9144 Privatsteuern Solidaritätszuschlag (Sammelposten) |
|   |   | 9145 Privattsteuern Kirchensteuer (Sammelposten); Kapitaländerungen durch Übertragung einer § 6b EStG Rücklage; F 9146 Variables Kapital Vollhafter - Übertragung einer § 6b EStG-Rücklage; F 9147 Variables Kapital Teilhafter - Übertragung einer § 6b EStG-Rücklage; R 9148-49 Andere Kapitalkontenanpassungen: Vollhafter; F 9150 Festkapital - andere Kapitalkontenanpassungen VH; F 9151 Variables Kapital - andere Kapitalkontenanpassungen VH; F 9152 Verlust-/Vortragskonto - andere Kapitalkontenanpassungen VH; F 9153 Kapitalkonto III - andere Kapitalkontenanpassungen VH; F 9154 Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert - andere Kapitalkontenanpassungen VH; F 9155 Verrechnungskonto für Einzahlungsverpflichtungen - andere Kapitalkontenanpassungen VH; R 9156 Anrechenbare Privattsteuern Vollhafter, Eigenkapital; F 9157 Privattsteuern Kapitalertragsteuer (VH); F 9158 Privattsteuern Solidaritätszuschlag (VH); F 9159 Privattsteuern Kirchensteuer (VH); Andere Kapitalkontenanpassungen: Teilhafter; F 9160 Kommandit-Kapital - andere Kapitalkontenanpassungen TH; F 9161 Variables Kapital - andere Kapitalkontenanpassungen TH; F 9162 Verlustausgleichskonto - andere Kapitalkontenanpassungen TH; F 9163 Kapitalkonto III - andere Kapitalkontenanpassungen TH; F 9164 Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert - andere Kapitalkontenanpassungen TH; F 9165 Verrechnungskonto für Einzahlungsverpflichtungen - andere Kapitalkontenanpassungen TH; R 9166 Anrechenbare Privattsteuern Teilhafter, Eigenkapital; F 9167 Privattsteuern Kapitalertragsteuer (TH), EK; F 9168 Privattsteuern Solidaritätszuschlag (TH), EK; F 9169 Privattsteuern Kirchensteuer (TH), EK; Umbuchungen auf andere Kapitalkonten: Vollhafter; F 9170 Festkapital - Umbuchungen VH; F 9171 Variables Kapital - Umbuchungen VH; F 9172 Verlust-/Vortragskonto - Umbuchungen VH |
| SB |   |   |
| SB |   |   |
|   |   | F 9174 Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert - Umbuchungen VH; F 9175 Verrechnungskonto für Einzahlungsverpflichtungen - Umbuchungen VH; R 9176 - 79 |
|   |   | Umbuchungen auf andere Kapitalkonten: Teilhafter; F 9180 Kommandit-Kapital - Umbuchungen TH; F 9181 Variables Kapital - Umbuchungen TH; F 9182 Verlustausgleichskonto - Umbuchungen TH; F 9183 Kapitalkonto III - Umbuchungen TH; F 9184 Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert - Umbuchungen TH; F 9185 Verrechnungskonto für Einzahlungsverpflichtungen - Umbuchungen TH |
|   |   | Anrechenbare Privatsteuern Teilhafter, Fremdkapital; F 9186 Privatsteuern Kapitalertragsteuer (TH), FK; F 9187 Privatsteuern Solidaritätszuschlag (TH), FK; F 9188 Privatsteuern Kirchensteuer (TH), FK; 9189 Verrechnungskonto für Umbuchungen zwischen Gesellschafter-Eigenkapitalkonten |
|   |   | Gegenkonten zu statistischen Konten für Betriebswirtschaftliche Auswertungen; F 9190 Gegenkonto für statistische Mengeneinheiten Konten 9101-9107 und Konten 9116-9118; 9199 Gegenkonto zu Konten 9120, 9135-9140 |
|   |   | Statistische Konten für die Kennzahlen der Bilanz; F 9200 Beschäftigte Personen; F 9201 -07; F 9208 |
|   |   | Statistische Konten für die Kennzahlen der Bilanz; F 9209 Gegenkonto zu 9200; 9210 Produktive Löhne; 9219 Gegenkonto zu 9210 |
|   |   | Statistische Konten zur informativen Angabe des gezeichneten Kapitals in anderer Währung |
| Gezeichnetes Kapital in DM | HB | F 9220 Gezeichnetes Kapital in DM (Art. 42 Abs. 3 Satz 1 EGHGB) |
|   |   | R 9221; F 9229 Gegenkonto zu 9220 |
|   |   | Statistische Konten für die Kapitalflussrechnung |
|   |   | 9240 Investitionsverbindlichkeiten bei den Leistungsverbindlichkeiten; 9241 Investitionsverbindlichkeiten aus Sachanlagekäufen bei Leistungsverbindlichkeiten; 9242 Investitionsverbindlichkeiten aus Käufen von immateriellen Vermögensgegenständen bei Leistungsverbindlichkeiten; 9243 Investitionsverbindlichkeiten aus Käufen von Finanzanlagen bei Leistungsverbindlichkeiten; 9244 Gegenkonto zu Konten 9240-9243; 9245 Forderungen aus Sachanlageverkäufen bei sonstigen Vermögensgegenständen; 9246 Forderungen aus Verkäufen immaterieller Vermögensgegenstände bei sonstigen Vermögensgegenständen; 9247 Forderungen aus Verkäufen von Finanzanlagen bei sonstigen Vermögensgegenständen; 9249 Gegenkonto zu Konten 9245-9247 |
|   |   | R 9258-59 |
|   |   | Aufgliederung der Rückstellungen für die Programme der Wirtschaftberatung |
|   |   | 9260 Kurzfristige Rückstellungen; 9262 Mittelfristige Rückstellungen; 9264 Langfristige Rückstellungen, außer Pensionen; 9269 Gegenkonto zu Konten 9260-9268 |
|   |   | Statistische Konten für in der Bilanz auszuweisende Haftungsverhältnisse |
|   |   | 9270 Gegenkonto zu 9271-9279 (Soll-Buchung); 9271 Verbindlichkeiten aus der Begebung und Übertragung von Wechseln; 9272 Verbindlichkeiten aus der Begebung und Übertragung von Wechseln gegenüber verbundenen/assoziierten Unternehmen; 9273 Verbindlichkeiten aus Bürgschaften, Wechsel- und Scheckbürgschaften; 9274 Verbindlichkeiten aus Bürgschaften, Wechsel- und Scheckbürgschaften gegenüber verbundenen/assoziierten Unternehmen; 9275 Verbindlichkeiten aus Gewährleistungsverträgen; 9276 Verbindlichkeiten aus Gewährleistungsverträgen gegenüber verbundenen/assoziierten Unternehmen; 9277 Haftung aus der Bestellung von Sicherheiten für fremde Verbindlichkeiten; 9278 Haftung aus der Bestellung von Sicherheiten für fremde Verbindlichkeiten gegenüber verbundenen/assoziierten Unternehmen; 9279 Verpflichtungen aus Treuhandvermögen |
|   |   | Statistische Konten für die im Anhang anzugebenden sonstigen finanziellen Verpflichtungen |
|   |   | 9280 Gegenkonto zu 9281-9284; 9281 Verpflichtungen aus Miet- und Leasingverträgen; 9282 Verpflichtungen aus Miet- und Leasingverträgen gegenüber verbundenen Unternehmen; 9283 Andere Verpflichtungen nach § 285 Nr. 3a HGB; 9284 Andere Verpflichtungen nach § 285 Nr. 3a HGB gegenüber verbundenen Unternehmen |
|   |   | Unterschiedsbetrag aus der Abzinsung von Altersversorgungsverpflichtungen nach § 253 Abs. 6 HGB |
| HB |   | 9285 Unterschiedsbetrag aus der Abzinsung von Altersversorgungsverpflichtungen nach § 253 Abs. 6 HGB (Haben) |
| HB |   | 9286 Gegenkonto zu 9285 |
|   |   | Statistische Konten für § 4 Abs. 3 EStG |
| EUR |   | 9287 Zinsen bei Buchungen über Debitoren bei § 4 Abs. 3 EStG |
| EUR |   | 9288 Mahngebühren bei Buchungen über Debitoren bei § 4 Abs. 3 EStG |
| EUR |   | 9289 Gegenkonto zu 9287 und 9288; 9290 Statistisches Konto steuerfreie Auslagen; 9291 Gegenkonto zu 9290; 9292 Statistisches Konto Fremdgeld; 9293 Gegenkonto zu 9292 |
| Einlagen stiller Gesellschafter |   | 9295 Einlagen atypisch stiller Gesellschafter |
|   | K | 9297 Steuerlicher Ausgleichsposten (Körperschaften); F 9298 Steuerlicher Ausgleichsposten VH (Personengesellschaften, Einzelunternehmen); F 9299 Steuerlicher Ausgleichsposten TH (Personengesellschaften); F 9300 -20; F 9326 -43; F 9346 -49; F 9357 -60; F 9365 -67; F 9371 -72; 9390 (Zur freien Verfügung) -94; F 9395 (Zur freien Verfügung) -99 |
|  |  | Privat Teilhafter (Eigenkapital, für Verrechnung mit Kapitalkonto III - Konto 9840) |
|  |  | F 9400 Privatentnahmen allgemein (TH), EK; R 9401-09 |
|  |  | F 9410 Privatsteuern (TH), EK; R 9411-19 |
|  |  | F 9420 Sonderausgaben beschränkt abzugsfähig (TH), EK; R 9421-29 |
|  |  | F 9430 Sonderausgaben unbeschränkt abzugsfähig (TH), EK; R 9431-39 |
|  |  | F 9440 Zuwendungen, Spenden (TH), EK; R 9441-49 |
|  |  | F 9450 Außergewöhnliche Belastungen (TH), EK; R 9451-59 |
|  |  | F 9460 Grundstücksaufwand (TH), EK; R 9461-69 |
|  |  | F 9470 Grundstücksertrag (TH), EK; R 9471-79 |
|  |  | F 9480 Unentgeltliche Wertabgaben (TH), EK; R 9481-89 |
|  |  | F 9490 Privateinlagen (TH), EK; R 9491-99 |
|  |  | Statistische Konten für die Kapitalkontenentwicklung |
|  |  | F 9500 Anteil für Konto 0900 Teilhafter; R 9501-09 |
|  |  | F 9510 Anteil für Konto 0910 Teilhafter; R 9511-19 |
|  |  | F 9520 Anteil für Konto 0920 Teilhafter; R 9521-29 |
|  | HB | F 9530 Anteil für Konto 9950 Teilhafter; R 9531-39 |
|  | HB | F 9540 Anteil für Konto 9930 Vollhafter; R 9541-49 |
|  |  | F 9550 Anteil für Konto 9810 Vollhafter; R 9551-59 |
|  |  | F 9560 Anteil für Konto 9820 Vollhafter; R 9561-69 |
|  |  | F 9570 Anteil für Konto 0870 Vollhafter; R 9571-79 |
|  |  | F 9580 Anteil für Konto 0880 Vollhafter; R 9581-89 |
|  | HB | F 9590 Anteil für Konto 0890 Vollhafter; R 9591-99 |
|  |  | F 9600 Name des Gesellschafters Vollhafter |
|  |  | R 9601 -09;F 9610 Tätigkeitsvergütung Vollhafter;R 9611 -19;F 9620 Tantieme Vollhafter;R 9621 -29;F 9630 Darlehensverzinsung Vollhafter;R 9631 -39;F 9640 Gebrauchsüberlassung Vollhafter;R 9641 -49;F 9650 Sonstige Vergütungen Vollhafter;R 9651 -59;F 9660 Sonstige Vergütungen Vollhafter;R 9661 -69;F 9670 Sonstige Vergütungen Vollhafter;R 9671 -79;F 9680 Sonstige Vergütungen Vollhafter;R 9681 -89;F 9690 Restanteil Vollhafter;R 9691 -99;F 9700 Name des Gesellschafters Teilhafter;R 9701 -09;F 9710 Tätigkeitsvergütung Teilhafter;R 9711 -19;F 9720 Tantieme Teilhafter;R 9721 -29;F 9730 Darlehensverzinsung Teilhafter;R 9731 -39;F 9740 Gebrauchsüberlassung Teilhafter;R 9741 -49;F 9750 Sonstige Vergütungen Teilhafter;R 9751 -59;F 9760 Sonstige Vergütungen Teilhafter;R 9761 -69;F 9770 Sonstige Vergütungen Teilhafter;R 9771 -79;F 9780 Anteil für Konto 9840 Teilhafter;R 9781 -89;F 9790 Restanteil Teilhafter;R 9791 -99 |
|  |  | Rücklagen, Gewinn-, Verlustvortrag |
|  |  | F 9802 Gesamthänderisch gebundene Rücklagen - andere Kapitalkonten-anpassungen;F 9803 Gewinnvortrag/Verlustvortrag - andere Kapitalkontenanpassungen;F 9804 Gesamthänderisch gebundene Rücklagen - Umbuchungen;F 9805 Gewinnvortrag/Verlustvortrag – Umbuchungen |
|  |  | Statistische Anteile an den Posten Jahresüberschuss/-fehlbetrag bzw. Bilanzgewinn/-verlust |
|  |  | F 9806 Zuzurechnender Anteil am Jahresüberschuss/Jahresfehlbetrag - je Gesellschafter; F 9807 Zuzurechnender Anteil am Bilanzgewinn/Bilanzverlust - je Gesellschafter; F 9808 Gegenkonto für zuzurechnenden Anteil am Jahresüberschuss/Jahresfehlbetrag; F 9809 Gegenkonto für zuzurechnenden Anteil am Bilanzgewinn/Bilanzverlust |
|  |  | Kapital Personenhandelsgesellschaft Vollhafter |
|  |  | F 9810 Kapitalkonto III; R 9811 -19; F 9820 Verlust-/Vortragskonto; R 9821 -29; F 9830 Verrechnungskonto für Einzahlungsverpflichtungen; R 9831 -39 |
|  |  | Kapital Personenhandelsgesellschaft Teilhafter |
|  |  | F 9840 Kapitalkonto III; R 9841 -49; F 9850 Verrechnungskonto für Einzahlungsverpflichtungen; R 9851 -59 |
|  |  | Einzahlungsverpflichtungen im Bereich der Forderungen |
|  |  | F 9860 Einzahlungsverpflichtungen persönlich haftender Gesellschafter; R 9861 -69; F 9870 Einzahlungsverpflichtungen Kommanditisten; R 9871 -79 |
|  |  | Ausgleichsposten für aktivierte eigene Anteile |
|  |  | 9880 Ausgleichsposten für aktivierte eigene Anteile |
|  |  | Nicht durch Vermögenseinlagen gedeckte Entnahmen |
|  |  | F 9883 Nicht durch Vermögenseinlagen gedeckte Entnahmen persönlich haftender Gesellschafter; F 9884 Nicht durch Vermögenseinlagen gedeckte Entnahmen Kommanditisten |
|  |  | Verrechnungskonto für nicht durch Vermögenseinlagen gedeckte Entnahmen |
|  |  | F 9885 Verrechnungskonto für nicht durch Vermögenseinlagen gedeckte Entnahmen persönlich haftender Gesellschafter; F 9886 Verrechnungskonto für nicht durch Vermögenseinlagen gedeckte Entnahmen Kommanditisten |
|   |   | Steueraufwand der Gesellschafter |
|   |   | 9887 Steueraufwand der Gesellschafter; 9889 Gegenkonto zu 9887 |
|   |   | Statistische Konten für Gewinnzuschlag |
|   |   | 9890 Statistisches Konto für den Gewinnzuschlag nach §§ 6b Abs. 7 und 6c EStG (Haben); 9891 Gegenkonto zu statistischen Konten für den Gewinnzuschlag (Soll) |
|   |   | Veränderung der gesamthänderisch gebundenen Rücklagen (Einlagen/Entnahmen) |
| F |   | 9892 Veränderung der gesamthänderisch gebundenen Rücklagen (Einlagen/Entnahmen) |
|   |   | Vorsteuer-/Umsatzsteuerkonten zur Korrektur der Forderungen/Verbindlichkeiten (EÜR) |
|   | EUR | 9893 Umsatzsteuer in den Forderungen zum allgemeinen Umsatzsteuersatz (EÜR) |
|   | EUR | 9894 Umsatzsteuer in den Forderungen zum ermäßigten Umsatzsteuersatz (EÜR) |
|   | EUR | 9895 Gegenkonto 9893-9894 für die Aufteilung der Umsatzsteuer (EÜR) |
|   | EUR | 9896 Vorsteuer in den Verbindlichkeiten zum allgemeinen Umsatzsteuersatz (EÜR) |
|   | EUR | 9897 Vorsteuer in den Verbindlichkeiten zum ermäßigten Umsatzsteuersatz (EÜR) |
|   | EUR | 9898 Vorsteuer in den Verbindlichkeiten aus verschiedenen Kosten (EÜR) |
|   | EUR | 9899 Gegenkonto 9896-9897 für die Aufteilung der Vorsteuer (EÜR) |
|   | EUR | 9900 Umsatzsteuer nicht fällig - sonstige Erlöse (EÜR) |
|   | EUR | 9901 Gegenkonto zu 9900 |
|   | EUR | 9902 Umsatzsteuer in den Forderungen aus sonstigen Erlösen (EÜR) |
|   |   | 9906 Steuerfreie Einnahmen und Entnahmen nach § 3 Nr. 72 EStG (Soll) |
|   |   | 9907 Gegenkonto zu steuerfreien Einnahmen und Entnahmen nach § 3 Nr. 72 EStG (Haben) |
|   |   | 9908 Nicht abzugfähige Betriebsausgaben nach § 3c Abs. 1 EStG i. V. m. § 3 Nr. 72 EStG (Haben) |
|   |   | 9909 Gegenkonto zu nicht abzugfähigen Betriebsausgaben nach § 3c Abs. 1 EStG i. V. m. § 3 Nr. 72 EStG (Soll) |
|   |   | Statistische Konten zu § 4 Abs. 4a EStG |
|   |   | 9910 Gegenkonto zur Minderung der Entnahmen § 4 Abs. 4a EStG |
|   |   | 9911 Minderung der Entnahmen § 4 Abs. 4a EStG (Haben) |
|   |   | 9912 Erhöhung der Entnahmen § 4 Abs. 4a EStG |
|   |   | 9913 Gegenkonto zur Erhöhung der Entnahmen § 4 Abs. 4a EStG (Haben) |
|   |   | Statistische Konten für den außerhalb der Bilanz zu berücksichtigenden Investitionsabzugsbetrag nach § 7g EStG |
| G K |   | R 9914 -15; 9916 Hinzurechnung Investitionsabzugsbetrag § 7g Abs. 2 EStG aus dem 2. vorangegangenen Wirtschaftsjahr, außerbilanziell (Haben) |
| SB |   | 9917 Hinzurechnung Investitionsabzugsbetrag § 7g Abs. 2 EStG aus dem 3. vorangegangenen Wirtschaftsjahr, außerbilanziell (Haben) |
| SB |   | 9918 Rückgängigmachung Investitionsabzugsbetrag § 7g Abs. 3 und 4 EStG im 2. vorangegangenen Wirtschaftsjahr |
| SB |   | 9919 Rückgängigmachung Investitionsabzugsbetrag § 7g Abs. 3 und 4 EStG im 3. vorangegangenen Wirtschaftsjahr |
|   |   | Ausstehende Einlagen |
| F |   | 9920 Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert |
|   |   | R 9921 -29 |
| F |   | 9930 Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert |
|   |   | R 9931 -39 |
| F |   | 9940 Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert |
|   |   | R 9941 -49 |
| F |   | 9950 Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert |
|   |   | R 9951 -59 |
|   |   | Konten zu Bewertungskorrekturen |
| Forderungen aus Lieferungen und Leistungen |   | 9960 Bewertungskorrektur zu Forderungen aus Lieferungen und Leistungen (Währungsumrechnung) |
| Sonstige Verbindlichkeiten |   | 9961 Bewertungskorrektur zu sonstigen Verbindlichkeiten (Währungsumrechnung) |
| Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks |   | 9962 Bewertungskorrektur zu Guthaben bei Kreditinstituten (Bewertung Finanzmittelfonds) |
| Verbindlichkeiten gegenüber Kreditinstituten |   | 9963 Bewertungskorrektur zu Verbindlichkeiten gegenüber Kreditinstituten (Bewertung Finanzmittelfonds) |
| Verbindlichkeiten aus Lieferungen und Leistungen |   | 9964 Bewertungskorrektur zu Verbindlichkeiten aus Lieferungen und Leistungen (Währungsumrechnung) |
| Sonstige Vermögensgegenstände |   | 9965 Bewertungskorrektur zu sonstigen Vermögensgegenständen (Währungsumrechnung) |
|   |   | R 9966 -69; Statistische Konten für den außerhalb der Bilanz zu berücksichtigenden Investitionsabzugsbetrag nach § 7g EStG |
|---|---|----------------------------------------------------------------------------------------------------------------------------------------------------------------|
| G K | SB | 9970 Investitionsabzugsbetrag § 7g Abs. 1 EStG, außerbilanziell (Soll) |
| SB |   | 9971 Investitionsabzugsbetrag § 7g Abs. 1 EStG, außerbilanziell (Haben); - Gegenkonto zu 9970 |
| G K | SB | 9972 Hinzurechnung Investitionsabzugsbetrag § 7g Abs. 2 EStG aus dem vorangegangenen Wirtschaftsjahr, außerbilanziell (Haben) |
| SB |   | 9973 Hinzurechnung Investitionsabzugsbetrag § 7g Abs. 2 EStG aus den vorangegangenen Wirtschaftsjahren, außerbilanziell (Soll); - Gegenkonto zu 9972, 9916, 9917 |
| SB |   | 9974 Rückgängigmachung Investitionsabzugsbetrag § 7g Abs. 3 und 4 EStG im vorangegangenen Wirtschaftsjahr |
| SB |   | 9975 Rückgängigmachung Investitionsabzugsbetrag § 7g Abs. 3 und 4 EStG in den vorangegangenen Wirtschaftsjahren; - Gegenkonto zu 9974, 9918, 9919 |
|   |   | Statistische Konten für die Zinsschranke § 4h EStG bzw. § 8a KStG |
| G | SB | 9976 Nicht abzugsfähige Zinsaufwendungen nach § 4h EStG (Haben) |
| SB |   | 9977 Nicht abzugsfähige Zinsaufwendungen nach § 4h EStG (Soll); - Gegenkonto zu 9976 |
| G | SB | 9978 Abziehbare Zinsaufwendungen aus Vorjahren nach § 4h EStG (Soll) |
| SB |   | 9979 Abziehbare Zinsaufwendungen aus Vorjahren nach § 4h EStG (Haben); - Gegenkonto zu 9978 |
|   |   | Statistische Konten für den GuV-Ausweis in "Gutschrift bzw. Belastung auf Verbindlichkeitskonten" bei den Auswertungen für PersHG nach KapCoRiLiG |
| HB |   | 9980 Anteil Belastung auf Verbindlichkeitskonten |
| HB |   | 9981 Verrechnungskonto für Anteil Belastung auf Verbindlichkeitskonten |
| HB |   | 9982 Anteil Gutschrift auf Verbindlichkeitskonten |
| HB |   | 9983 Verrechnungskonto für Anteil Gutschrift auf Verbindlichkeitskonten |
|   |   | Statistische Konten für die Gewinnkorrektur nach § 60 Abs. 2 EStDV |
| G K | HB | 9984 Gewinnkorrektur nach § 60 Abs. 2 EStDV; - Erhöhung handelsrechtliches Ergebnis durch Habenbuchung; - Minderung handelsrechtliches Ergebnis durch Sollbuchung |
| HB |   | 9985 Gegenkonto zu 9984 |
| | | Statistische Konten für Korrekturbuchungen in der Überleitungsrechnung |
| | | 9986 Ergebnisverteilung auf Fremdkapital;9987 Korrekturkonto für die Überleitungsrechnung;9989 Gegenkonto zu 9986-9988 |
| | | Statistische Konten für außergewöhnliche und aperiodische Geschäftsvorfälle für Anhangsangabe nach § 285 Nr. 31 und Nr. 32 HGB |
| | | 9990 Erträge von außergewöhnlicher Größenordnung oder Bedeutung;9991 Erträge (aperiodisch);9992 Erträge von außergewöhnlicher Größenordnung oder Bedeutung (aperiodisch);9993 Aufwendungen von außergewöhnlicher Größenordnung oder Bedeutung;9994 Aufwendungen (aperiodisch);9995 Aufwendungen von außergewöhnlicher Größenordnung oder Bedeutung (aperiodisch);9998 Gegenkonto zu 9990-9997 |
| | | Personenkonten |
| Saldos: Forderungen aus Lieferungen und Leistungen | 10000<br>-69999 Debitoren | |
| Habensalden: Sonstige Verbindlichkeiten | | |
| Habensalden: Verbindlichkeiten aus Lieferungen und Leistungen | 70000<br>-99999 Kreditoren | |
| Saldos: Sonstige Vermögensgegenstände | | |
